,P_coo,P_coo_1,P_coo_2,P_coo_3,P_coo_4,T_roo,T_roo_1,T_roo_2,T_roo_3,T_roo_4,T_set,h,T_oa
18222.0,0.0,0.0,33.65615273989549,197.01376292316576,210.4222560230152,25.325914155240184,25.251719226329783,24.91265309997658,24.857241536655522,25.282101929659063,32.34390991767941,19,19.367059940581896
18223.0,0.0,0.0,0.0,33.65615273989549,197.01376292316576,25.26039891635429,25.325914155240184,25.251719226329783,24.91265309997658,24.857241536655522,32.16750458084482,19,19.087491781806307
18224.0,0.0,0.0,0.0,0.0,33.65615273989549,25.117226401375945,25.26039891635429,25.325914155240184,25.251719226329783,24.91265309997658,31.6190750449299,20,18.707916749749643
18225.0,0.0,0.0,0.0,0.0,0.0,24.92320850504916,25.117226401375945,25.26039891635429,25.325914155240184,25.251719226329783,31.568172429980905,20,18.285634500084655
18226.0,0.0,0.0,0.0,0.0,0.0,24.68635339380114,24.92320850504916,25.117226401375945,25.26039891635429,25.325914155240184,31.568172429980905,20,17.85408309377749
18227.0,0.0,0.0,0.0,0.0,0.0,24.41770858145867,24.68635339380114,24.92320850504916,25.117226401375945,25.26039891635429,31.568172429980905,20,17.424914464953645
18228.0,0.0,0.0,0.0,0.0,0.0,24.12723538555184,24.41770858145867,24.68635339380114,24.92320850504916,25.117226401375945,31.568172429980905,21,17.00561406063173
18229.0,0.0,0.0,0.0,0.0,0.0,23.82206540060406,24.12723538555184,24.41770858145867,24.68635339380114,24.92320850504916,31.568172429980905,21,16.590397071544942
18230.0,0.0,0.0,0.0,0.0,0.0,23.507065916920737,23.82206540060406,24.12723538555184,24.41770858145867,24.68635339380114,31.884620009102434,21,16.184301994753866
18231.0,0.0,0.0,0.0,0.0,0.0,23.185743457648357,23.507065916920737,23.82206540060406,24.12723538555184,24.41770858145867,32.84543575352677,21,15.797094120921656
18232.0,0.0,0.0,0.0,0.0,0.0,22.860958972873505,23.185743457648357,23.507065916920737,23.82206540060406,24.12723538555184,32.92042027124012,22,15.465576751996537
18233.0,0.0,0.0,0.0,0.0,0.0,22.537193081126873,22.860958972873505,23.185743457648357,23.507065916920737,23.82206540060406,32.92042027124012,22,15.278277741379839
18234.0,0.0,0.0,0.0,0.0,0.0,22.219045712214154,22.537193081126873,22.860958972873505,23.185743457648357,23.507065916920737,32.92042027124012,22,15.182288261200995
18235.0,0.0,0.0,0.0,0.0,0.0,21.90761425305726,22.219045712214154,22.537193081126873,22.860958972873505,23.185743457648357,32.92042027124012,22,15.081436402425823
18236.0,0.0,0.0,0.0,0.0,0.0,21.600581989920897,21.90761425305726,22.219045712214154,22.537193081126873,22.860958972873505,32.92042027124012,23,14.875352722882212
18237.0,0.0,0.0,0.0,0.0,0.0,21.293129524109474,21.600581989920897,21.90761425305726,22.219045712214154,22.537193081126873,32.92042027124012,23,14.527506519614178
18238.0,0.0,0.0,0.0,0.0,0.0,20.981822952655023,21.293129524109474,21.600581989920897,21.90761425305726,22.219045712214154,32.92042027124012,23,14.16187373469188
18239.0,0.0,0.0,0.0,0.0,0.0,20.667830065523958,20.981822952655023,21.293129524109474,21.600581989920897,21.90761425305726,32.92042027124012,23,13.93188274338064
18240.0,0.0,0.0,0.0,0.0,0.0,20.357031354964874,20.667830065523958,20.981822952655023,21.293129524109474,21.600581989920897,32.92042027124012,0,13.93592417382797
