,P_coo,P_fan,P_hea,P_pum,P_tot,T_oa,T_roo,T_set
17991.0,317.15638554324755,0.8739606953892678,0.0,5.60152564407184,323.6318718827086,296.32598535910836,297.63108893614844,304.8489853157735
17992.0,323.318640817698,0.8739606953892678,0.0,5.60152564407184,329.79412715715904,296.74072123797976,298.1469460767905,304.8489853157735
17993.0,331.8452537084571,0.8739606953892678,0.0,5.60152564407184,338.3207400479183,297.659776295414,298.7195142893643,304.8489853157735
17994.0,342.6920287515871,0.8739606953892678,0.0,5.60152564407184,349.1675150910482,298.8176585602229,299.3539745634471,304.8489853157735
17995.0,352.84161892148654,0.8739606953892678,0.0,5.60152564407184,359.3171052609477,299.8934196251797,300.0358441717108,304.65802870185365
17996.0,359.90707275581894,0.8739606953892678,0.0,5.60152564407184,366.38255909528016,300.666208839101,300.74509167511894,304.0546845328091
17997.0,366.00841964271905,0.8739606953892678,0.0,5.60152564407184,372.4839059821803,301.3043653617884,301.46257270907375,304.00013690516687
17998.0,370.68255413136535,0.8739606953892678,0.0,5.60152564407184,377.15804047082645,301.7996010829325,302.17301143872265,304.00013690516687
17999.0,372.9520767994151,0.8739606953892678,0.0,5.60152564407184,379.42756313887617,302.0415569609641,302.8582548812592,304.6677968548072
18000.0,372.0636586458962,0.8739606953892678,0.0,5.60152564407184,378.53914498535727,301.9322077907195,303.4985984051227,306.67097490901784
18001.0,369.7835544084812,0.8739606953892678,0.0,5.60152564407184,376.2590407479423,301.5081193742987,304.08038354091445,306.84865723521085
18002.0,368.12483177892574,0.8739606953892678,0.0,5.60152564407184,374.60031811838684,300.96227282950827,304.59398978769025,306.84865723521085
18003.0,366.8852067932388,0.8739606953892678,0.0,5.60152564407184,373.36069313269996,300.5048639303291,305.0198127662033,306.84865723521085
18004.0,1131.5191516107673,182.9924020594944,0.0,5.60152564407184,1320.1130793143338,300.27513946539784,303.63111484543714,304.0466972719807
18005.0,2913.3547798888962,637.7551020408166,0.0,5.60152564407184,3556.711407573785,300.1228380178598,298.3683862732123,295.52189691576984
18006.0,2904.9931736014037,637.7551020408166,0.0,5.60152564407184,3548.349801286292,299.9911817929216,296.0872041992708,294.72922277068653
18007.0,2403.8697607318977,405.92811794007764,0.0,5.60152564407184,2815.3994043160474,299.89018135104874,294.86177970235974,294.72922277068653
