,T_oa,T_roo,mass_flow
20468,289.2667351,287.5986571,0.075
20469,289.5166667,287.5842661,0.075
20470,289.7666667,287.603441,0.075
20471,290.0166547,287.6613241,0.079644737
20472,290.2587238,287.5336505,0.180886547
20473,290.4743964,287.7583322,0.086512399
20474,290.6963529,287.9738438,0.125206522
20475,290.971423,287.5472738,0.391261673
20476,291.3428259,288.0056665,0.152248061
20477,291.812499,287.93356,0.593263265
20478,292.338482,288.1003865,0.363380717
20479,292.8738398,288.1803584,0.527678684
20480,293.3833012,289.2266098,0.210115013
20481,293.8833333,289.2362319,0.487498324
20482,294.3833333,289.1379328,0.463523445
20483,294.8833333,290.1984049,0.222037285
20484,295.3833333,289.8226584,0.539022878
20485,295.8833333,291.2343377,0.162160388
20486,296.3833333,291.7545804,0.297087239
20487,296.8833333,290.7423901,0.612474908
20488,297.4149517,290.5364214,0.642164209
20489,298.08722,291.5660531,0.408220963
20490,298.8751398,293.3174748,0.232557292
20491,299.7083482,293.8809701,0.260975951
20492,300.5797663,292.2905365,0.592700188
20493,301.6372683,292.1164526,0.618538668
20494,302.7603424,292.2939233,0.622073353
20495,303.737994,293.2143394,0.450398808
20496,304.4003221,294.0146384,0.389243376
20497,304.7924547,294.0372762,0.455647572
20498,305.0067429,293.1840694,0.643128867
20499,305.1130606,295.5234751,0.263578045
20500,305.1861896,296.3993986,0.268454962
20501,305.2699343,298.7384276,0.114698457
20502,305.3131008,299.2451627,0.168101345
20503,305.2451953,294.8262396,0.609209419
20504,305.033254,294.6321806,0.475214406
20505,304.7833333,294.8932279,0.453775924
20506,304.5333333,294.0219294,0.571934506
20507,304.2833453,293.7622544,0.543867301
20508,304.0412762,293.6144746,0.530285033
20509,303.8256036,293.2800142,0.548019541
20510,303.6036471,293.2051317,0.513047564
20511,303.328577,292.497269,0.644443252
20512,302.9571741,293.4031261,0.38793122
20513,302.487501,293.4402178,0.394966491
20514,301.961518,295.9420155,0.123385523
20515,301.4261602,295.2223541,0.289209283
20516,300.9166988,295.7099617,0.14121698
20517,300.4166667,297.7234325,0.038543558
20518,299.9166667,298.635991,0.079923136
20519,299.4166212,294.429638,0.459880833
20520,298.8651419,291.7606153,0.644911115
20521,298.1071192,291.9218838,0.418837092
20522,297.2491101,293.5062653,0.14679258
20523,296.4784507,295.072867,0.025853299
20524,295.9167539,295.0430358,0.065224177
20525,295.4166667,294.4276315,0.074881453
20526,294.9166667,294.0683688,0.075
20527,294.4166667,293.7555715,0.075
20528,293.9166667,293.4479539,0.075
20529,293.4166667,293.1433311,0.075
20530,292.9166667,292.8415323,0.075
20531,292.4166667,292.5424959,0.075
20532,291.998315,292.2483107,0.075
20533,291.9231838,291.9735798,0.075
20534,292.0643459,291.7270211,0.075
20535,292.1721435,291.5037105,0.075
20536,292.0503648,291.2901658,0.075
20537,291.7776931,291.0770994,0.075
20538,291.4753184,290.8649046,0.075
20539,291.2331821,290.6570541,0.075
20540,291.1275484,290.4597507,0.075
20541,291.1391732,290.2781434,0.075
20542,291.186693,290.1114789,0.075
20543,291.1880982,289.9560468,0.075
20544,291.086442,289.8060254,0.075
20545,290.9357086,289.6587905,0.075
20546,290.7749079,289.5150415,0.075
20547,290.6228546,289.3753611,0.075
20548,290.4968283,289.2407624,0.075
20549,290.3976204,289.1121547,0.075
20550,290.3084226,288.9893786,0.075
20551,290.2104496,288.8714049,0.075
20552,290.0579503,288.7559651,0.075
20553,289.769622,288.6365395,0.075
20554,289.4375914,288.5115526,0.075
20555,289.2022577,288.3866182,0.075
20556,289.1501235,288.2714371,0.075
20557,289.15,288.1681635,0.075
20558,289.15,288.0730703,0.075
20559,289.15,287.984967,0.075
20560,289.15,287.90327,0.075
20561,289.15,287.827496,0.075
20562,289.15,287.7571679,0.075
20563,289.15,287.69271,0.075
20564,289.15,287.6381359,0.075
20565,289.15,287.6009908,0.075
20566,289.15,287.5905067,0.075
20567,289.15,287.6170202,0.075
20568,289.1802153,287.3795784,0.210516576
20569,289.3468981,287.1222578,0.359923876
20570,289.6300606,287.3804387,0.186122654
20571,289.9674749,287.7984526,0.133041422
20572,290.3133063,288.1915568,0.114645733
20573,290.7044043,288.0263394,0.502560036
20574,291.1828512,287.8061372,0.509113343
20575,291.780249,288.2431889,0.344523235
20576,292.5513753,288.3070325,0.624142727
20577,293.5596148,289.2658989,0.256704303
20578,294.6676263,289.7195509,0.325763969
20579,295.6881213,289.6635541,0.420656743
20580,296.4998059,290.4252731,0.283989796
20581,297.25,289.917718,0.619125472
20582,298,289.7581113,0.712559436
20583,298.75,290.5754885,0.511804738
20584,299.5,290.9063413,0.537366715
20585,300.25,291.995323,0.371135981
20586,301,291.5605735,0.609264585
20587,301.75,291.3018782,0.692654824
20588,302.5,291.4312962,0.686444417
20589,303.25,292.0865684,0.560353603
20590,304,292.8765903,0.460100993
20591,304.749854,295.2276362,0.183259243
20592,305.3321403,295.915984,0.254032889
20593,305.2147295,295.9986732,0.277490058
20594,304.6671961,295.1870284,0.393115614
20595,304.2144589,295.6318664,0.327735054
20596,304.2503981,295.0566124,0.430668057
20597,304.5445636,295.8608633,0.315425221
20598,304.8714017,294.9034385,0.473429683
20599,305.0995225,295.1576669,0.399078354
20600,305.1499779,293.7851659,0.621654716
20601,305.15,293.3419713,0.630630178
20602,305.15,293.1108595,0.650781511
20603,305.15,296.659769,0.153135819
20604,305.1659133,298.6381362,0.12650445
20605,305.2345407,294.9122498,0.493011696
20606,305.2906685,295.3193739,0.289080661
20607,305.2403925,293.8722322,0.521306006
20608,304.997793,294.7672658,0.294917597
20609,304.558254,297.3914573,0.139861863
20610,304.0063819,294.3900839,0.54150987
20611,303.4357232,293.0010151,0.538903293
20612,302.9246486,293.3539596,0.411059294
20613,302.458937,292.8078822,0.49517372
20614,301.9869991,293.0884412,0.374197931
20615,301.4618824,291.6516213,0.662544432
20616,300.840533,291.7188965,0.46348452
20617,300.1208134,292.0445239,0.356256391
20618,299.3448532,293.0003116,0.160639881
20619,298.5595031,291.4703058,0.42096096
20620,297.8000337,292.0969146,0.156079618
20621,297.05,293.0735067,0.086243685
20622,296.3,293.2520475,0.075
20623,295.5500871,293.0711698,0.075
20624,294.8696663,292.842133,0.075
20625,294.4922983,292.6109411,0.075
20626,294.3411503,292.3951101,0.075
20627,294.2371121,292.1949234,0.075
20628,294.0444928,292.0024146,0.075
20629,293.8204031,291.8131846,0.075
20630,293.5969964,291.6282617,0.075
20631,293.3716383,291.4473812,0.075
20632,293.1375611,291.2698439,0.075
20633,292.8790802,291.0941652,0.075
20634,292.5993188,290.9191479,0.075
20635,292.3074949,290.7445041,0.075
20636,291.9511202,290.5689445,0.075
20637,291.3634502,290.3819106,0.075
20638,290.7087864,290.1804918,0.075
20639,290.2514316,289.9776452,0.075
20640,290.15,289.7908964,0.075
20641,290.15,289.6217406,0.075
